activity_id,activity_name,duration,difficulty,ratings,location,description
101,"Berjalan santai di taman",30,Easy,4.5,"Taman Kota","Berjalan santai di taman setiap pagi"
102,"Menggambar doodle",15,Medium,4.0,"Rumah","Menggambar doodle setiap pagi sebelum memulai hari"
103,"Mengajak teman untuk kopi sore",60,Easy,5.0,"Kafe lokal","Mengajak teman dekat untuk kopi sore hari"
104,"Yoga ringan di rumah",20,Medium,4.2,"Rumah","Melakukan yoga ringan di rumah setiap pagi"
105,"Mengikuti kelas lukis online",90,Medium,4.7,"Online","Mengikuti kelas lukis online setiap minggu"
106,"Bermain tenis meja",45,Medium,4.3,"Pusat Rekreasi","Bermain tenis meja dengan teman di pusat rekreasi"
107,"Memasak bersama keluarga",120,Easy,4.8,"Rumah","Memasak hidangan spesial bersama keluarga di rumah"
108,"Menonton film di bioskop",120,Easy,4.5,"Bioskop","Menonton film terbaru di bioskop lokal"
109,"Mendaki bukit kecil",180,Hard,4.7,"Area Perbukitan","Mendaki bukit kecil untuk menikmati pemandangan alam"
110,"Belajar alat musik baru",60,Medium,4.6,"Rumah","Belajar memainkan alat musik baru seperti gitar atau piano"
111,"Bermain bowling",90,Medium,4.4,"Arena Bowling","Bermain bowling bersama teman di arena bowling"
112,"Berkunjung ke museum",120,Easy,4.5,"Museum Kota","Mengunjungi museum untuk menikmati pameran seni dan sejarah"
113,"Bermain video game",60,Medium,4.2,"Rumah","Bermain video game favorit untuk mengisi waktu luang"
114,"Mengikuti kelas tari",60,Medium,4.6,"Studio Tari","Mengikuti kelas tari seperti salsa atau hip-hop di studio tari"
115,"Menghadiri konser musik",150,Easy,4.8,"Gedung Konser","Menghadiri konser musik artis favorit di gedung konser"
116,"Berkemah di alam terbuka",720,Hard,4.7,"Perkemahan","Menghabiskan akhir pekan dengan berkemah di alam terbuka"
117,"Berpartisipasi dalam maraton",240,Hard,4.5,"Kota","Berpartisipasi dalam acara lari maraton tahunan"
118,"Mengikuti workshop kerajinan",120,Medium,4.6,"Pusat Kegiatan","Mengikuti workshop untuk belajar membuat kerajinan tangan"
119,"Bersantai di pantai",300,Easy,4.8,"Pantai","Menghabiskan waktu bersantai di pantai dan menikmati matahari"
120,"Bermain catur",60,Medium,4.3,"Rumah","Bermain catur untuk melatih strategi dan konsentrasi"
121,"Berkuda",90,Hard,4.7,"Kawasan Berkuda","Berkuda di kawasan berkuda dengan instruktur berpengalaman"
122,"Mengikuti kelas memasak",90,Medium,4.5,"Sekolah Memasak","Mengikuti kelas memasak untuk mempelajari resep baru"
123,"Bermain frisbee di taman",45,Easy,4.4,"Taman Kota","Bermain frisbee bersama teman di taman kota"
124,"Menghadiri acara budaya",120,Easy,4.7,"Pusat Kebudayaan","Menghadiri acara budaya seperti festival atau pameran seni"
125,"Menulis jurnal harian",30,Easy,4.3,"Rumah","Menulis jurnal harian untuk mencatat pengalaman dan perasaan"
126,"Mengikuti kelas meditasi",60,Medium,4.6,"Studio Meditasi","Mengikuti kelas meditasi untuk relaksasi dan fokus"
127,"Belajar fotografi",90,Medium,4.5,"Kelas Online","Mengikuti kelas fotografi online untuk meningkatkan keterampilan"
128,"Menonton pertunjukan teater",150,Easy,4.7,"Teater Kota","Menonton pertunjukan teater lokal"
129,"Melukis di luar ruangan",120,Medium,4.8,"Taman Kota","Melukis pemandangan alam di luar ruangan"
130,"Bermain bulu tangkis",60,Medium,4.4,"Lapangan Olahraga","Bermain bulu tangkis di lapangan olahraga lokal"
131,"Belajar bahasa asing",60,Medium,4.6,"Kelas Online","Mengikuti kelas bahasa asing online setiap minggu"
132,"Mengikuti kelas aerobik",60,Medium,4.3,"Pusat Kebugaran","Mengikuti kelas aerobik di pusat kebugaran lokal"
133,"Berperahu di danau",120,Medium,4.5,"Danau","Menghabiskan waktu dengan berperahu di danau"
134,"Mengunjungi kebun binatang",180,Easy,4.7,"Kebun Binatang","Mengunjungi kebun binatang dan melihat berbagai hewan"
135,"Membuat kerajinan keramik",90,Medium,4.6,"Pusat Kegiatan","Mengikuti kelas membuat kerajinan dari keramik"
136,"Bermain voli pantai",90,Medium,4.4,"Pantai","Bermain voli pantai bersama teman"
137,"Mengikuti kelas Zumba",60,Medium,4.5,"Studio Tari","Mengikuti kelas Zumba untuk berolahraga dengan musik"
138,"Mendaki gunung",480,Hard,4.7,"Gunung","Menghabiskan hari mendaki gunung dan menikmati pemandangan"
139,"Bermain papan seluncur",60,Medium,4.3,"Skatepark","Bermain papan seluncur di skatepark lokal"
140,"Mengikuti kelas pilates",60,Medium,4.5,"Studio Kebugaran","Mengikuti kelas pilates untuk meningkatkan fleksibilitas"
141,"Membuat perhiasan",120,Medium,4.6,"Pusat Kerajinan","Mengikuti workshop membuat perhiasan"
142,"Belajar merajut",90,Medium,4.4,"Rumah","Belajar merajut dengan tutorial online"
143,"Mengikuti acara lari malam",120,Hard,4.5,"Kota","Berpartisipasi dalam acara lari malam di kota"
144,"Berkunjung ke perpustakaan",90,Easy,4.6,"Perpustakaan Kota","Menghabiskan waktu membaca di perpustakaan kota"
145,"Mengikuti kelas dansa ballroom",90,Medium,4.7,"Studio Dansa","Mengikuti kelas dansa ballroom untuk pasangan"
146,"Mengadakan piknik",180,Easy,4.8,"Taman Kota","Mengadakan piknik dengan teman atau keluarga di taman"
147,"Berkebun hidroponik",120,Medium,4.5,"Rumah","Belajar berkebun dengan teknik hidroponik di rumah"
activity_id,activity_name,duration,difficulty,ratings,location,description
148,"Mengikuti kelas seni digital",120,Medium,4.6,"Online","Mengikuti kelas seni digital untuk meningkatkan keterampilan menggambar secara digital"
149,"Menonton film dokumenter",90,Easy,4.5,"Rumah","Menonton film dokumenter tentang topik yang menarik"
150,"Belajar memasak hidangan internasional",120,Medium,4.7,"Rumah","Mengikuti kursus memasak online untuk belajar hidangan internasional"
151,"Bermain tenis meja",60,Medium,4.4,"Pusat Rekreasi","Bermain tenis meja di pusat rekreasi lokal"
152,"Mendengarkan konser musik",120,Easy,4.8,"Konser Hall","Menghadiri konser musik lokal untuk menikmati musik live"
153,"Mengikuti kelas origami",90,Medium,4.6,"Pusat Seni","Belajar membuat kerajinan origami di pusat seni"
154,"Berpartisipasi dalam lomba lari",240,Hard,4.7,"Kota","Berpartisipasi dalam lomba lari maraton di kota"
155,"Bermain catur",60,Easy,4.5,"Klub Catur","Bermain catur di klub catur lokal untuk mengasah keterampilan strategi"
156,"Menjelajahi museum",120,Easy,4.7,"Museum Kota","Mengunjungi museum untuk melihat pameran dan belajar sejarah"
157,"Mengikuti kelas seni pahat",120,Medium,4.6,"Pusat Kerajinan","Belajar seni pahat di pusat kerajinan lokal"
158,"Menonton pertunjukan sulap",90,Easy,4.5,"Teater Kota","Menonton pertunjukan sulap di teater kota"
159,"Mengikuti kelas tari kontemporer",90,Medium,4.7,"Studio Tari","Belajar tari kontemporer di studio tari"
160,"Bermain sepak bola",90,Medium,4.4,"Lapangan Sepak Bola","Bermain sepak bola di lapangan lokal bersama teman"
161,"Mengikuti kelas menulis kreatif",120,Medium,4.6,"Online","Belajar menulis kreatif dengan mengikuti kelas online"
162,"Membuat film pendek",180,Medium,4.8,"Rumah","Membuat film pendek dengan menggunakan kamera dan perangkat lunak editing"
163,"Belajar menyelam",240,Hard,4.7,"Pantai","Mengikuti kursus menyelam untuk mendapatkan sertifikasi menyelam"
164,"Menonton pameran seni",120,Easy,4.7,"Galeri Seni","Mengunjungi pameran seni lokal untuk melihat karya seniman"
165,"Mengikuti kelas yoga aerial",60,Medium,4.5,"Studio Kebugaran","Mengikuti kelas yoga aerial untuk meningkatkan fleksibilitas dan kekuatan"
166,"Bermain bowling",90,Easy,4.4,"Arena Bowling","Bermain bowling bersama teman di arena bowling lokal"
167,"Menghadiri lokakarya fotografi",180,Medium,4.6,"Pusat Kegiatan","Belajar teknik fotografi di lokakarya fotografi"
168,"Membuat terrarium",120,Medium,4.5,"Rumah","Belajar membuat terrarium sebagai dekorasi rumah"
169,"Bermain paintball",120,Medium,4.7,"Lapangan Paintball","Bermain paintball bersama teman di lapangan paintball"
170,"Mengikuti kelas seni grafiti",120,Medium,4.6,"Pusat Seni","Belajar seni grafiti di kelas seni lokal"
171,"Bermain golf mini",90,Easy,4.4,"Lapangan Golf Mini","Bermain golf mini di lapangan golf mini lokal"
172,"Belajar berkuda",180,Medium,4.7,"Ranch","Mengikuti pelajaran berkuda di ranch lokal"
173,"Menghadiri konser musik klasik",120,Easy,4.8,"Gedung Konser","Menikmati konser musik klasik di gedung konser"
174,"Bermain bulu tangkis",60,Medium,4.5,"Gelanggang Olahraga","Bermain bulu tangkis di gelanggang olahraga lokal"
175,"Mengikuti kelas merajut",90,Medium,4.6,"Pusat Seni","Belajar merajut di kelas merajut lokal"
176,"Menonton teater musikal",150,Easy,4.7,"Teater Kota","Menonton pertunjukan teater musikal di teater kota"
177,"Bermain voli pantai",90,Medium,4.5,"Pantai","Bermain voli pantai bersama teman di pantai lokal"
178,"Mengikuti kelas melukis dengan cat minyak",120,Medium,4.6,"Pusat Seni","Belajar melukis dengan cat minyak di pusat seni"
179,"Menyusun puzzle",60,Easy,4.4,"Rumah","Menyusun puzzle di rumah sebagai kegiatan relaksasi"
180,"Belajar bahasa asing",120,Medium,4.6,"Online","Mengikuti kursus online untuk belajar bahasa asing baru"
181,"Mengikuti kelas seni patung",120,Medium,4.5,"Pusat Kerajinan","Belajar membuat patung di kelas seni patung lokal"
182,"Bermain frisbee",60,Easy,4.3,"Taman Kota","Bermain frisbee di taman kota bersama teman"
183,"Mengikuti kelas tari salsa",90,Medium,4.6,"Studio Tari","Belajar tari salsa di studio tari lokal"
184,"Menonton pertunjukan balet",120,Easy,4.8,"Teater Kota","Menikmati pertunjukan balet di teater kota"
185,"Bermain squash",60,Medium,4.4,"Gelanggang Olahraga","Bermain squash di gelanggang olahraga lokal"
186,"Mengikuti kelas fotografi malam",120,Medium,4.7,"Pusat Kegiatan","Belajar teknik fotografi malam di kelas fotografi"
187,"Membuat kerajinan dari tanah liat",120,Medium,4.5,"Pusat Kerajinan","Belajar membuat kerajinan dari tanah liat di pusat kerajinan"
188,"Bermain biliar",90,Easy,4.4,"Pusat Hiburan","Bermain biliar bersama teman di pusat hiburan"
189,"Mengikuti kelas seni digital",120,Medium,4.6,"Online","Mengikuti kelas seni digital untuk meningkatkan keterampilan menggambar secara digital"
190,"Bermain kartu",60,Easy,4.3,"Rumah","Bermain kartu bersama keluarga atau teman di rumah"
191,"Belajar menyanyi",120,Medium,4.6,"Studio Musik","Mengikuti kelas menyanyi di studio musik lokal"
192,"Mengikuti kelas tari hip-hop",90,Medium,4.5,"Studio Tari","Belajar tari hip-hop di studio tari lokal"
193,"Menonton pertunjukan komedi",120,Easy,4.7,"Teater Kota","Menikmati pertunjukan komedi di teater kota"
194,"Bermain trampolin",60,Medium,4.4,"Arena Trampolin","Bermain trampolin di arena trampolin lokal"
195,"Mengikuti kelas seni ukir",120,Medium,4.6,"Pusat Kerajinan","Belajar seni ukir di kelas seni ukir lokal"